Name,Category,Index,XAxis,YAxis,
email_3049_Amitabh_Kumar_invited_you_to_a_conversation_on_Hangouts.txt,6,0,-1.59156836998,3.48573414797,
email_2502_Lekha_Kumar_invited_you_to_a_conversation_on_Hangouts.txt,6,1,-1.75177121731,3.74135883175,
email_831_iTunes_Code__10_for_15.txt,8,2,-5.92385688716,-3.15020750637,
email_1143_Reminder_Learning_To_Embrace_GHOSTs__Mikal_Belicove_SXSW_Acceler__Fri_Jun_20_2014_4pm__5pm_anjishnukrgmailcom.txt,8,3,1.03485001316,-0.219826108926,
email_3257_Re_Catch_up_call.txt,9,4,6.34171374354,-1.63660908346,
email_1305_Reminder_How_to_Get_Hired_as_a_Product_Manager__Lewis_Lin_exGoo__Fri_May_16_2014_4pm__5pm_anjishnukrgmailcom.txt,8,5,0.327803445451,-0.550617244578,
email_2095_AWS_201_Webinar_Backup_Archive_and_Disaster_Recovery__March_26.txt,8,6,2.1228816566,-1.59357416848,
email_3256_Re_Catch_up_call.txt,8,7,6.27691141515,-2.38997769947,
email_3139_Amitabh_Kumar_invited_you_to_a_conversation_on_Hangouts.txt,6,8,-1.576006026,3.49142849294,
email_515_4_for_a_10_Dunkin_Donuts_Gift_Card.txt,8,9,-6.29399106346,-2.97982217634,
email_2179_Fwd_CMU_hosting_collegefeed_workshops_.txt,8,10,0.462201640073,-2.13007454396,
email_3083_Invitation_US_Ambassador_All_Hands_Call__Dialin_18883878686_40__Fri_Jul_26_1130pm__Sat_Jul_27_2013_1230am_anjishnukrgmailcom.txt,9,11,5.43826583069,0.951095254181,
email_339_Re_central_perk.txt,9,12,6.79562659236,-0.310562377255,
email_693_Join_us_for_a_Master_Class_with_Marina_Tirado.txt,8,13,-2.03836238356,1.13632594167,
email_732_Reminder_Hold_for_Networking_Session_With_Raj_Sabhlok__President___Fri_Aug_15_2014_4pm__5pm_Anjishnu_Kumar.txt,9,14,2.92898336451,0.604181426133,
